"C_EIN"|"C_Org_Name"|"ACTIVITY_ID"|"XML_DOCUMENT_ID"|"REGION"|"NUM_OFFICES"|"NUM_EMP"|"ACTIVITIES"|"ACTIVITY_TYPE"|"TOT_EXPENDITURES"
"01-0803109"|"INTERNATIONAL SEMATECH MANUFACTURING INITIATIVE INC"|"44050"|"1716655"|"EAST ASIA ANDTHE PACIFIC"|"2"|"0"|"PROGRAM SERVICE"|"MEMBER MARKETING AND RELATIONSHIP MANAGEMENT"|""
"01-0803109"|"INTERNATIONAL SEMATECH MANUFACTURING INITIATIVE INC"|"44051"|"1716655"|"EAST ASIA AND THE PACIFIC"|"0"|"0"|"PROGRAM SERVICE REVENUE"|"MEMBERSHIP DUES RECEIVED FROM MEMBERS IN THE REGION"|""
"01-0803109"|"INTERNATIONAL SEMATECH MANUFACTURING INITIATIVE INC"|"44052"|"1716655"|"EUROPE"|"0"|"0"|"PROGRAM SERVICE REVENUE"|"MEMBERSHIP DUES RECEIVED FROM MEMBERS IN THE REGION"|""
"01-0811961"|"INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS"|"44053"|"1716656"|"NORTH AMERICA - CANADA AND MEXICO"|"0"|"0"|"PROGRAM SERVICES"|"TRAINING, CERTIFICATION"|"1659.0000"
"01-0811961"|"INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS"|"44054"|"1716656"|"EAST ASIA AND THE PACIFIC"|"0"|"0"|"PROGRAM SERVICE"|"TRAINING, CERTIFICATION"|"17624.0000"
"01-0811961"|"INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS"|"44055"|"1716656"|"EUROPE (INCLUDING ICELAND & GREENLAND)"|"0"|"0"|"PROGRAM SERVICE"|"TRAINING, CERTIFICATION"|"16932.0000"
"01-0679411"|"AMERICAN FRIENDS OF RETORNO"|"44976"|"1724971"|"ISRAEL"|""|""|"PROGRAM SERVICES TO RETORNO IN ISRAEL"|"ADDICTION REHABILITATION PROGRAMS"|"167967.0000"
"01-0730325"|"THE MOUNT KENYA ACADEMY FOUNDATION, INC."|"45313"|"1728741"|"EAST AFRICA - MOUNT KENYA"|"1"|"30"|"PROGRAM SERVICES: THE FOUNDATION OPERATES A SCHOOL AND BOARDING HOUSE FACILITY IN KENYA"|"DESCRIBED ON LINE 3(D)."|"1176109.0000"
"01-0963657"|"NATIONAL MEDICAL FELLOWSHIPS, INC."|"45713"|"1736146"|"SUB-SAHARAN AFRICA"|""|""|"PROGRAM SERVICES"|"INTERNATIONAL PROGRAM"|"178916.0000"
"01-0740113"|"KHMER ARTS ACADEMY"|"46192"|"1742418"|"CAMBODIA"|"1"|""|"PROGRAM SERVICES"|"KHMER ARTS ENSEMBLE, KHMER ARTS RESEARCH & ARCHIVING"|""
"01-0211513"|"THE JACKSON LABORATORY"|"46352"|"1749256"|"Europe (Including Iceland and Greenland)"|""|"1"|"Program Services"|"RESEARCH"|"133441.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"46353"|"1749256"|"Central America and the Caribbean"|""|""|"Investments"|""|"23955720.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"46354"|"1749256"|"East Asia and the Pacific"|""|""|"Program Services"|"RESEARCH"|"13500.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"46355"|"1749256"|"Central America and the Caribbean"|""|""|"Program Services"|"GENETIC RESOURCES"|"0.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"46356"|"1749256"|"East Asia and the Pacific"|""|""|"Program Services"|"GENETIC RESOURCES"|"0.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"46357"|"1749256"|"Europe (Including Iceland and Greenland)"|""|""|"Program Services"|"GENETIC RESOURCES"|"0.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"46358"|"1749256"|"Middle East and North Africa"|""|""|"Program Services"|"GENETIC RESOURCES"|"0.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"46359"|"1749256"|"North America"|""|""|"Program Services"|"GENETIC RESOURCES"|"0.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"46360"|"1749256"|"Russia and the Newly Independent States"|""|""|"Program Services"|"GENETIC RESOURCES"|"0.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"46361"|"1749256"|"South America"|""|""|"Program Services"|"GENETIC RESOURCES"|"0.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"46362"|"1749256"|"South Asia"|""|""|"Program Services"|"GENETIC RESOURCES"|"0.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"46363"|"1749256"|"Sub-Saharan Africa"|""|""|"Program Services"|"GENETIC RESOURCES"|"0.0000"
"01-0948527"|"OPEN IDENTITY EXCHANGE,INC."|"46609"|"1754562"|"EUROPE"|""|""|"PROGRAM SERVICES"|"BUSINESS CONSULTING FOR UK INITIATIVES"|"13389.0000"
"01-0948527"|"OPEN IDENTITY EXCHANGE,INC."|"46610"|"1754562"|"AUSTRALIA"|""|""|"PROGRAM SERVICES"|"TECHNICAL WRITING"|"10000.0000"
"01-0756141"|"Christian Youth Theater Denver Inc"|"47013"|"1759399"|"Antarctica"|"0"|"0"|"Grantmaking"|"We have no foreign entities, but the system would not let me file without completing this schedule"|"0.0000"
"01-0451745"|"St Croix International Waterway Commission"|"47829"|"1763475"|"North America"|"1"|"1"|"see supplemental"|""|"130000.0000"
"01-0471151"|"REGULATORY ASSISTANCE PROJECT"|"48021"|"1767654"|"EAST ASIA AND THE PACIFIC"|"1"|"3"|"PROGRAM SERVICES"|"ADVICE, RESEARCH, TRAINING"|"2465812.0000"
"01-0471151"|"REGULATORY ASSISTANCE PROJECT"|"48022"|"1767654"|"EUROPE"|"2"|"3"|"PROGRAM SERVICES"|"ADVICE, RESEARCH, TRAINING"|"2007859.0000"
"01-0471151"|"REGULATORY ASSISTANCE PROJECT"|"48023"|"1767654"|"SOUTH ASIA"|"1"|"0"|"PROGRAM SERVICES"|"ADVICE, RESEARCH, TRAINING"|"1592779.0000"
